Date,Open,High,Low,Close
2022-12-01,2.933,2.942,2.917,2.918
2022-11-30,2.915,2.937,2.909,2.934
2022-11-29,2.892,2.922,2.879,2.922
2022-11-28,2.857,2.881,2.834,2.881
2022-11-25,2.816,2.849,2.813,2.846
2022-11-24,2.814,2.819,2.788,2.814
2022-11-23,2.849,2.849,2.829,2.829
2022-11-22,2.837,2.856,2.833,2.853
2022-11-21,2.84,2.84,2.821,2.835
2022-11-18,2.822,2.841,2.821,2.837
2022-11-17,2.852,2.852,2.828,2.83
2022-11-16,2.856,2.858,2.822,2.858
2022-11-15,2.849,2.858,2.831,2.831
2022-11-14,2.799,2.851,2.782,2.849
2022-11-11,2.711,2.753,2.702,2.753
2022-11-10,2.713,2.722,2.705,2.72
2022-11-09,2.711,2.716,2.707,2.715
2022-11-08,2.72,2.721,2.713,2.715
2022-11-07,2.71,2.714,2.708,2.713
2022-11-04,2.687,2.724,2.687,2.718
2022-11-03,2.696,2.698,2.688,2.688
2022-11-02,2.678,2.704,2.678,2.694
2022-11-01,2.66,2.687,2.66,2.68
2022-10-31,2.678,2.678,2.652,2.658
2022-10-28,2.716,2.716,2.693,2.693
2022-10-27,2.724,2.729,2.71,2.713
2022-10-26,2.742,2.742,2.734,2.737
2022-10-25,2.736,2.742,2.734,2.741
2022-10-24,2.738,2.751,2.737,2.737
2022-10-21,2.723,2.744,2.723,2.741
2022-10-20,2.724,2.75,2.721,2.746
2022-10-19,2.713,2.724,2.713,2.723
2022-10-18,2.72,2.723,2.72,2.72
2022-10-17,2.708,2.721,2.708,2.721
2022-10-14,2.748,2.75,2.724,2.726
2022-10-13,2.761,2.761,2.742,2.748
2022-10-12,2.766,2.766,2.758,2.761
2022-10-11,2.768,2.768,2.751,2.763
2022-10-10,2.761,2.767,2.753,2.76
2022-09-30,2.736,2.782,2.736,2.767
2022-09-29,2.748,2.768,2.748,2.767
2022-09-28,2.708,2.763,2.708,2.756
2022-09-27,2.733,2.746,2.707,2.726
2022-09-26,2.673,2.734,2.673,2.733
2022-09-23,2.694,2.71,2.694,2.708
2022-09-22,2.684,2.696,2.684,2.693
2022-09-21,2.676,2.686,2.676,2.682
2022-09-20,2.696,2.696,2.678,2.68
2022-09-19,2.696,2.698,2.692,2.693
2022-09-16,2.691,2.691,2.686,2.686
2022-09-15,2.678,2.681,2.674,2.681
2022-09-14,2.671,2.672,2.67,2.672
2022-09-13,2.664,2.668,2.662,2.665
2022-09-09,2.649,2.665,2.649,2.659
2022-09-08,2.649,2.654,2.648,2.649
2022-09-07,2.642,2.645,2.639,2.643
2022-09-06,2.641,2.644,2.639,2.641
2022-09-05,2.647,2.648,2.644,2.645
2022-09-02,2.645,2.649,2.641,2.648
2022-09-01,2.661,2.664,2.646,2.646
2022-08-31,2.655,2.663,2.651,2.658
2022-08-30,2.664,2.67,2.651,2.651
2022-08-29,2.681,2.681,2.665,2.67
2022-08-26,2.671,2.682,2.671,2.682
2022-08-25,2.659,2.676,2.658,2.672
2022-08-24,2.655,2.656,2.651,2.652
2022-08-23,2.649,2.658,2.646,2.652
2022-08-22,2.635,2.645,2.635,2.642
2022-08-19,2.639,2.642,2.631,2.636
2022-08-18,2.647,2.649,2.631,2.636
2022-08-17,2.658,2.658,2.65,2.652
2022-08-16,2.661,2.668,2.641,2.648
2022-08-15,2.695,2.701,2.678,2.681
2022-08-12,2.749,2.757,2.747,2.751
2022-08-11,2.754,2.757,2.75,2.751
2022-08-10,2.755,2.757,2.75,2.755
2022-08-09,2.757,2.761,2.757,2.76
2022-08-08,2.751,2.759,2.75,2.757
2022-08-05,2.739,2.753,2.739,2.753
2022-08-04,2.74,2.741,2.729,2.737
2022-08-03,2.753,2.754,2.743,2.743
2022-08-02,2.743,2.75,2.74,2.746
2022-08-01,2.753,2.754,2.75,2.75
2022-07-29,2.786,2.786,2.77,2.773
2022-07-28,2.792,2.805,2.791,2.798
2022-07-27,2.787,2.793,2.786,2.786
2022-07-26,2.796,2.798,2.789,2.79
2022-07-25,2.806,2.808,2.794,2.798
2022-07-22,2.793,2.803,2.791,2.8
2022-07-21,2.789,2.79,2.778,2.782
2022-07-20,2.807,2.807,2.79,2.791
2022-07-19,2.805,2.807,2.803,2.807
2022-07-18,2.801,2.809,2.8,2.803
2022-07-15,2.809,2.815,2.803,2.807
2022-07-14,2.824,2.826,2.811,2.812
2022-07-13,2.825,2.833,2.824,2.829
2022-07-12,2.836,2.836,2.831,2.831
2022-07-11,2.849,2.852,2.839,2.839
2022-07-08,2.856,2.863,2.853,2.858
2022-07-07,2.855,2.857,2.848,2.856
2022-07-06,2.85,2.855,2.849,2.852
2022-07-05,2.87,2.872,2.84,2.84
2022-07-04,2.858,2.871,2.857,2.865
2022-07-01,2.836,2.843,2.832,2.842
2022-06-30,2.844,2.846,2.831,2.836
2022-06-29,2.852,2.859,2.848,2.851
2022-06-28,2.844,2.868,2.844,2.859
2022-06-27,2.836,2.852,2.836,2.851
