Date,Open,High,Low,Close,Volume
2022-12-01,11475.17,11546.77,11378.75,11482.45,4432958673.0
2022-11-30,10995.2,11468.48,10966.53,11468.0,5802314439.0
2022-11-29,11060.02,11086.02,10944.37,10983.78,4124991445.0
2022-11-28,11147.57,11217.75,11020.7,11049.5,3789626845.0
2022-11-25,11231.0,11261.57,11206.38,11226.36,1935968057.0
2022-11-23,11174.61,11310.82,11174.61,11285.32,3917783184.0
2022-11-22,11058.56,11179.87,10975.66,11174.41,3679765299.0
2022-11-21,11091.01,11128.79,10999.75,11024.51,3400817965.0
2022-11-18,11257.01,11259.45,11059.16,11146.06,3502087314.0
2022-11-17,11008.67,11198.84,11006.21,11144.96,3659100958.0
2022-11-16,11260.09,11286.1,11162.92,11183.66,3911910775.0
2022-11-15,11474.82,11492.62,11241.15,11358.41,4632497094.0
2022-11-14,11233.91,11350.13,11167.16,11196.22,4374516008.0
2022-11-11,11124.75,11352.43,11069.83,11323.33,5046042211.0
2022-11-10,10869.17,11119.12,10779.95,11114.15,5413095633.0
2022-11-09,10528.45,10564.97,10344.02,10353.17,4282929733.0
2022-11-08,10611.53,10745.64,10472.73,10616.2,4354653584.0
2022-11-07,10516.94,10587.96,10428.91,10564.52,3876146049.0
2022-11-04,10548.14,10553.63,10262.93,10475.25,4486043285.0
2022-11-03,10399.45,10486.02,10319.54,10342.94,4324939312.0
2022-11-02,10885.01,10993.24,10522.91,10524.8,4506095402.0
2022-11-01,11154.74,11156.35,10881.19,10890.85,4002969893.0
2022-10-31,11028.43,11047.94,10914.0,10988.15,4039388780.0
2022-10-28,10766.2,11117.04,10766.2,11102.45,3953095534.0
2022-10-27,10971.95,10998.73,10780.5,10792.67,4152914492.0
2022-10-26,10969.02,11205.84,10948.38,10970.99,4472302972.0
2022-10-25,10996.97,11210.38,10996.97,11199.12,4444329939.0
2022-10-24,10867.07,10983.52,10713.33,10952.61,4093491447.0
2022-10-21,10576.04,10875.72,10542.43,10859.72,3858026558.0
2022-10-20,10657.41,10837.3,10574.55,10614.84,3823087619.0
2022-10-19,10689.31,10808.04,10592.88,10680.51,4272317031.0
2022-10-18,10963.99,10972.97,10670.12,10772.4,4236669753.0
2022-10-17,10575.65,10696.59,10569.69,10675.8,3725486406.0
2022-10-14,10742.82,10766.69,10308.81,10321.39,3510543849.0
2022-10-13,10131.82,10697.71,10088.83,10649.15,4181800115.0
2022-10-12,10437.0,10494.53,10372.21,10417.1,3395920594.0
2022-10-11,10484.38,10608.84,10351.98,10426.19,3807871867.0
2022-10-10,10659.95,10669.93,10449.04,10542.1,3373027888.0
2022-10-07,10877.28,10891.93,10608.52,10652.4,3910338704.0
2022-10-06,11129.04,11230.44,11051.27,11073.31,3745487061.0
2022-10-05,11022.67,11210.32,10910.76,11148.64,3361489671.0
2022-10-04,11054.72,11189.96,11044.04,11176.41,4286019397.0
2022-10-03,10659.01,10875.46,10577.89,10815.43,3653327831.0
2022-09-30,10697.71,10883.04,10572.33,10575.62,3791408559.0
2022-09-29,10894.44,10899.46,10623.23,10737.51,3711941629.0
2022-09-28,10817.52,11101.5,10776.34,11051.64,3677817094.0
2022-09-27,10955.29,11040.98,10741.02,10829.5,3566931738.0
2022-09-26,10833.39,11024.0,10789.05,10802.92,3886458334.0
2022-09-23,10952.69,10958.3,10732.72,10867.93,4307017517.0
2022-09-22,11167.38,11203.77,11024.64,11066.8,4231361740.0
2022-09-21,11466.21,11613.57,11219.0,11220.19,3748793347.0
2022-09-20,11440.14,11520.99,11343.72,11425.05,3459563820.0
2022-09-19,11338.57,11538.13,11337.83,11535.02,3596399784.0
2022-09-16,11401.21,11460.43,11316.92,11448.4,6488169311.0
2022-09-15,11633.24,11760.73,11497.11,11552.36,4137557210.0
2022-09-14,11680.41,11746.84,11602.76,11719.68,4236393317.0
2022-09-13,11908.81,11957.97,11604.43,11633.57,4484051995.0
2022-09-12,12174.94,12270.19,12169.29,12266.41,3695781645.0
2022-09-09,11958.61,12132.68,11958.61,12112.31,3850509542.0
2022-09-08,11679.86,11896.73,11660.53,11862.13,3707125985.0
2022-09-07,11559.38,11819.07,11555.09,11791.9,3848362555.0
2022-09-06,11643.03,11679.43,11471.5,11544.91,3933816545.0
2022-09-02,11899.14,11945.91,11573.51,11630.86,3569827047.0
2022-09-01,11707.44,11798.38,11546.52,11785.13,4109649295.7289
2022-08-31,11972.56,12027.43,11814.17,11816.2,4273027634.3311
2022-08-30,12093.06,12101.85,11790.02,11883.14,3919454009.0
2022-08-29,12021.05,12124.87,11981.42,12017.67,3648837076.0
2022-08-26,12630.58,12655.84,12141.52,12141.71,3840710355.0
2022-08-25,12506.37,12641.27,12471.98,12639.27,3813871039.0
2022-08-24,12375.15,12504.33,12350.16,12431.53,3495745643.0
2022-08-23,12380.37,12490.86,12352.03,12381.3,3323217240.0
